,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
377,7.54,4.592,0.18217,0.0,3.672
378,7.56,3.879,0.17204,0.0,4.106
379,7.58,3.695,0.17311,0.0,4.753
380,7.6,4.311,0.17571,0.0,4.413
381,7.62,5.305,0.18151,0.0,3.775
382,7.64,6.37,0.19442,0.0,3.299
383,7.66,7.351,0.21715,0.0,3.13
384,7.68,8.231,0.24496,0.0,3.113
385,7.7,9.315,0.26415,0.0,2.961
386,7.72,10.272,0.2648,0.0,2.652
387,7.74,10.934,0.2508,0.0,2.368
388,7.76,11.381,0.2281,0.0,2.052
389,7.78,11.763,0.20882,0.0,1.779
390,7.8,12.087,0.20682,0.0,1.715
391,7.82,12.212,0.20257,0.0,1.659
392,7.84,12.146,0.19101,0.0,1.563
393,7.86,11.8,0.17546,0.0,1.437
394,7.88,11.453,0.161,0.0,1.346
395,7.9,11.21,0.15604,0.0,1.388
396,7.92,11.057,0.15437,0.0,1.394
397,7.94,11.085,0.15923,0.0,1.44
398,7.96,11.204,0.17062,0.0,1.543
399,7.98,11.323,0.18136,0.0,1.641
400,8.0,11.428,0.18761,0.0,1.64
401,8.02,11.223,0.20469,0.0,1.814
402,8.04,11.055,0.22233,0.0,2.01
403,8.06,11.145,0.23421,0.0,2.109
404,8.08,11.472,0.24002,0.0,2.109
405,8.1,12.005,0.2529,0.0,2.128
406,8.12,12.63,0.2655,0.0,2.132
407,8.14,13.369,0.27599,0.0,2.101
408,8.16,14.114,0.27791,0.0,2.004
409,8.18,14.863,0.27805,0.002,1.905
410,8.2,15.455,0.27994,0.004,1.834
411,8.22,15.743,0.2859,0.006,1.824
412,8.24,15.764,0.29213,0.007,1.852
413,8.26,15.744,0.30096,0.007,1.913
414,8.28,15.847,0.31098,0.009,1.967
415,8.3,16.093,0.31987,0.009,2.0
416,8.32,16.415,0.32937,0.01,2.018
417,8.34,16.51,0.33462,0.009,2.027
418,8.36,16.51,0.34015,0.01,2.058
419,8.38,16.405,0.34713,0.011,2.112
420,8.4,16.39,0.35905,0.012,2.194
421,8.42,16.702,0.37337,0.012,2.253
422,8.44,17.362,0.37698,0.011,2.207
423,8.46,18.307,0.37499,0.01,2.095
424,8.48,19.393,0.37924,0.009,1.997
425,8.5,20.215,0.38942,0.007,1.954
426,8.52,20.403,0.3954,0.004,1.933
427,8.54,19.608,0.37921,0.0,1.886
428,8.56,17.713,0.37162,0.0,1.986
429,8.58,15.376,0.36612,0.0,2.205
430,8.6,12.936,0.36406,0.0,2.564
431,8.62,10.919,0.35029,0.0,2.937
432,8.64,9.861,0.32524,0.0,3.155
433,8.66,8.582,0.29826,0.0,3.217
